name,0,1,2,cluster,color
East Paris Emotion Map,-0.31794115756746805,-0.41680888521470805,-0.6033084642248989,3,#23BF0C
San Francisco Emotional Map,-0.31794115756746805,-0.41680888521470805,-0.6033084642248989,3,#23BF0C
Stockport Emotion Map,-0.27624332543216984,-0.47948910101617626,-0.35378079050956096,3,#23BF0C
Greenwich Emotion Map,-0.40558171954263383,-0.3836077584974429,-0.5948782928029455,3,#23BF0C
Mapping Memories of Exiles: Combining Conventional and Alternative Cartographic Approaches,-0.2805425498047348,0.3287383376230423,1.01864884157984,1,#AAD2E0
Space-time Cubes,0.5454061028752828,-0.0730984698182059,-0.4501601380430817,2,#478F8D
"Mapping an emotional topography of an ecological homeland: The case of Sakhalin Island, Russia",-0.26242097317993324,-0.8412482522680577,-0.2320891239607456,1,#AAD2E0
Inductive Visualization: A Humanistic Alternative to GIS,0.07889837148049493,-0.5319539032344055,1.16634168795763,1,#AAD2E0
I was there,0.08991610580334732,-0.4982657100220115,1.4148516386916437,1,#AAD2E0
Smell maps,-0.24286880734387017,-0.49428082893069036,-0.38231804403157005,3,#23BF0C
The Spatial Politics of Affect and Emotion in Participatory GIS,-0.3761908877420553,-0.36400452865687744,-0.2757065089746762,0,#F3D027
Emotional cartography as a window into children's well-being: Visualizing the felt geographies of place,0.19348307534208087,-0.4911971922061397,0.5474476413505808,1,#AAD2E0
The Image of the City,-0.13847029718008327,-0.2905008968327861,-0.22619432085971447,3,#23BF0C
"A Grenoble, l’anti-atlas des frontières vécues par les migrants",0.39165190074129297,0.04833764414347662,0.7252644535075722,0,#F3D027
"Cartographie sensible, émotions et imaginaire.",0.4506010125859525,-0.18016490302345417,-0.5900300443608613,3,#23BF0C
Collectively Mapping Borders,-0.08628127771497918,-0.28780337510329373,0.30160878370837135,3,#23BF0C
The Last Piece Is You,-0.2905079709750299,-0.807279847752893,-0.4244557913363036,1,#AAD2E0
Mapping Champlain’s Travels: Restorative Techniques for Historical Cartography,-0.14313625997527443,-0.1162075918009436,0.9153805203370411,1,#AAD2E0
Snap Map,-1.6964252267014652,2.212071845923898,0.26460714163658833,0,#F3D027
The LGBT community and public space: A mixed methods approach,-0.1332813574262345,-0.3980598980754571,-0.2917992263778417,3,#23BF0C
Imprecity,-1.0558095736954949,0.7499355380272495,-0.22547286047567314,0,#F3D027
Visual Mementos: Reflecting Memories with Personal Data,-1.22443046272604,1.4957026204223103,0.6013672748478148,0,#F3D027
Exploratory Geovisualizations for Supporting the Qualitative Analysis and Synthesis of Place-Related Emotion Data,0.062409895015111634,-0.5983885437926199,-0.050131505440286744,3,#23BF0C
The pedagogical effects of psychogeographic urban exploration and mapping,-0.07600579162553653,-0.2938103877455298,-0.4283587053197071,1,#AAD2E0
Psychogeography and the study of social environments: extending visual methodological research in psychology,0.169225259007055,0.13455770458415936,-0.06918382582499213,1,#AAD2E0
Shawnadithit's map,0.26916904235175887,-0.3290149551692183,0.37218604856245713,1,#AAD2E0
A Map You Can Walk Into: Immersive Cartography and the Speculative Potentials of Data,-0.5056113982897041,0.14159651940350612,-0.2562435362502735,0,#F3D027
Imaginary Italies ,0.1521014185672737,0.14509551601170395,0.19514343091655945,1,#AAD2E0
#SoundingOutMySilence: Reading a LGBTQ Youth's Sonic Cartography as Multimodal (Counter)Storytelling,-0.32002196265906374,-0.35307367645474813,0.012734504178826277,1,#AAD2E0
Everybody Map Now: Participatory Map Making on Bumpkin Island,0.018049776098429865,-0.41639741685502246,0.32468401741555497,1,#AAD2E0
Smiley Sticker Project,-0.5510202335085985,-0.491503370492465,-0.5582495249916957,3,#23BF0C
"Mapping the Lived Experience in Chorrillo, Panama",-0.10241815416666242,-0.539207047541534,-0.008174938593250173,1,#AAD2E0
"Zooming in on El Chorrillo: The Lived Environment, Elements, and Textures",-0.023689791127638988,-0.47620589525918794,-0.5258684920010347,3,#23BF0C
The Mapping Journey Project,0.10986968044816633,-0.5946018939935044,1.8769580899682048,1,#AAD2E0
Core Sample,-0.30510316149183736,-0.5035558510234732,-0.1513195241246104,1,#AAD2E0
Boston Coastline: Future Past,-0.024160113465517462,-0.3468220449189668,-0.7899355223261122,3,#23BF0C
Community Power Map,-0.6555565822812349,-0.19599734395803395,0.2606188150055417,0,#F3D027
Ellis Act Evictions,-0.19177396963080043,0.1416831101561075,0.2596537609808254,0,#F3D027
Shades of my memories,-0.10837032479982468,-0.26890992882244386,0.15018584266401355,1,#AAD2E0
Peripatetic Box,-0.3095210084627361,-0.054146860310733125,-0.5827078383308776,1,#AAD2E0
Map of my Life,0.472802751243464,-0.22763123819783185,0.3385897639993012,1,#AAD2E0
Urban Fabric,-0.2284975223972833,-0.1408134120857792,-0.6204854380951221,3,#23BF0C
Wounded Land /Art Cube,1.4536935008519478,0.7508447233662182,-0.025032161354981885,2,#478F8D
Grafted Land,1.5712273824937484,0.7733065454030806,-0.11158598085094988,2,#478F8D
Shredded Land,1.6722023287425694,0.8595110715268489,-0.1289570445558082,2,#478F8D
Erasure,1.6372240339187314,0.7690938875992303,-0.04043886206479377,2,#478F8D
From oral histories to visual narratives: re-presenting the post-September 11 experiences of the Muslim women in the USA,-0.035061495012539814,-0.7710593932477317,0.9195347180482389,1,#AAD2E0
WiMo: Location-Based Emotion Tagging,-1.4160170641630332,1.4565833635610281,-0.04558799937609549,0,#F3D027
EmoMap,-0.9603563370657474,0.7865362662434144,-0.46634942334301044,0,#F3D027
Memory Maps,-0.452876241674245,-0.47072356383753255,-0.27520004482733357,3,#23BF0C
City of Memory,-0.9939916150526598,0.6606200368594987,0.13177110285509497,0,#F3D027
Worldview,-1.269631241170046,1.7491592404033733,0.10744771735411163,0,#F3D027
Psychogeographic guide of Paris,0.4298578944010428,0.3116416226757586,-0.3979432706908717,1,#AAD2E0
